Date,Y,H1,H2,H4,H8,N1,N2,N4,N8,F1,F2,F4,F8
01-01-98,11832.486,4.014305183,4.01515424,4.376361545,4.435286296,4.014305183,2.008001649,1.177830056,0.514223702,0.921547812,1.244787674,0.942020899,0.361107374
01-04-98,11942.032,4.016003297,4.389910386,4.511782277,4.578769983,4.016003297,2.381908738,1.138997028,0.645271835,1.244787674,1.602963841,0.766215698,1.814600755
01-07-98,12091.614,4.763817475,4.73756885,4.660872281,4.576079318,4.763817475,2.355660113,1.153090828,0.499309748,1.602963841,0.942020899,1.301162875,0.133466179
01-10-98,12287,4.711320226,4.633654168,4.643593698,4.346868628,4.711320226,2.277994056,1.173675786,0.366266495,0.942020899,0.766215698,1.685303673,0.620957651
01-01-99,12403.293,4.555988111,4.584175712,4.494211047,4.043383541,4.555988111,2.306181656,1.028447405,0.28542994,0.766215698,1.301162875,0.361107374,-0.285585061
01-04-99,12498.694,4.612363312,4.653533228,4.645757688,3.605346609,4.612363312,2.347351572,1.290543669,0.131461583,1.301162875,1.685303673,1.814600755,0.582853892
01-07-99,12662.385,4.694703144,4.404246382,4.491286355,3.091591785,4.694703144,2.05689481,0.998619495,0.062790589,1.685303673,0.361107374,0.133466179,-0.415901767
01-10-99,12877.593,4.11378962,4.637982148,4.050143559,2.523924914,4.11378962,2.581087338,0.732532989,0.019171022,0.361107374,1.814600755,0.620957651,0.272001114
01-01-00,12924.179,5.162174676,4.578326328,3.592556034,2.173409427,5.162174676,1.99723899,0.570859881,0.163708216,1.814600755,0.133466179,-0.285585061,0.870712489
01-04-00,13160.842,3.99447798,3.462304969,2.564935531,1.694477241,3.99447798,1.465065979,0.262923165,0.166339648,0.133466179,0.620957651,0.582853892,0.603905352
01-07-00,13178.419,2.930131958,2.606785741,1.691897214,1.468943117,2.930131958,1.141719762,0.125581179,0.273775624,0.620957651,-0.285585061,-0.415901767,0.443586034
01-10-00,13260.506,2.283439523,1.667566092,0.997706269,1.361789971,2.283439523,0.52584633,0.038342045,0.259113348,-0.285585061,0.582853892,0.272001114,0.15470291
01-01-01,13222.69,1.051692661,0.777008688,0.75426282,1.295788514,1.051692661,0.251162357,0.327416432,0.219428484,0.582853892,-0.415901767,0.870712489,0.553233578
01-04-01,13299.984,0.502324715,0.327846446,0.824018952,1.415339831,0.502324715,0.076684089,0.332679297,0.251012899,-0.415901767,0.272001114,0.603905352,0.856580668
01-07-01,13244.784,0.153368178,0.731516953,1.245989021,1.758607767,0.153368178,0.654832864,0.547551247,0.406058526,0.272001114,0.870712489,0.443586034,1.683951052
01-10-01,13280.859,1.309665728,1.320191458,1.725873672,2.268860612,1.309665728,0.665358594,0.518226696,0.529423867,0.870712489,0.603905352,0.15470291,1.141625635
01-01-02,13397.002,1.330717188,1.760461088,1.837314209,2.631963056,1.330717188,1.095102494,0.438856968,0.526810661,0.603905352,0.443586034,0.553233578,0.53232793
01-04-02,13478.152,2.190204989,2.131555886,2.006660709,2.980259889,2.190204989,1.036453392,0.502025798,0.514636481,0.443586034,0.15470291,0.856580668,0.759187231
01-07-02,13538.072,2.072906784,1.914167329,2.271226514,3.128237838,2.072906784,0.877713937,0.812117052,0.421753572,0.15470291,0.553233578,1.683951052,0.940887783
01-10-02,13559.032,1.755427874,1.881765532,2.811847551,3.272761184,1.755427874,1.004051595,1.058847733,0.403636694,0.553233578,0.856580668,1.141625635,0.996690608
01-01-03,13634.253,2.00810319,2.628285699,3.426611904,3.528038594,2.00810319,1.624234104,1.053621321,0.474705895,0.856580668,1.683951052,0.53232793,1.100881537
01-04-03,13751.543,3.248468208,3.741929571,3.953859068,3.71439561,3.248468208,2.117695467,1.029272962,0.437369914,1.683951052,1.141625635,0.759187231,0.460499384
01-07-03,13985.073,4.235390933,4.224938109,3.985249161,3.739019139,4.235390933,2.107242642,0.843507145,0.430682056,1.141625635,0.53232793,0.940887783,0.887384916
01-10-03,14145.645,4.214485284,4.165788566,3.733674816,3.594375721,4.214485284,2.058545924,0.807273388,0.384780448,0.53232793,0.759187231,0.996690608,0.62947775
01-01-04,14221.147,4.117091848,3.745560213,3.629465285,3.47992488,4.117091848,1.68701429,0.94941179,0.412359819,0.759187231,0.940887783,1.100881537,1.321516503
01-04-04,14329.523,3.374028579,3.301561066,3.474932151,3.349264181,3.374028579,1.614546776,0.874739828,0.383975782,0.940887783,0.996690608,0.460499384,0.233427086
01-07-04,14464.984,3.229093552,3.513370356,3.492789118,3.219877446,3.229093552,1.89882358,0.861364111,0.292366837,0.996690608,1.100881537,0.887384916,0.154513359
01-10-04,14609.876,3.79764716,3.648303236,3.455076627,3.135955037,3.79764716,1.749479656,0.769560897,0.319714285,1.100881537,0.460499384,0.62947775,0.848257333
01-01-05,14771.602,3.498959313,3.472207879,3.330384475,2.845175896,3.498959313,1.722728223,0.824719638,0.183926754,0.460499384,0.887384916,1.321516503,0.235216257
01-04-05,14839.782,3.445456446,3.261850017,3.22359621,2.633959066,3.445456446,1.539121794,0.767951564,0.226153084,0.887384916,0.62947775,0.233427086,0.571237726
01-07-05,14972.054,3.078243588,3.18856107,2.946965773,2.477841042,3.078243588,1.649439277,0.584733674,0.274564031,0.62947775,1.321516503,0.154513359,0.541800932
01-10-05,15066.597,3.298878553,3.185342404,2.816833447,2.337342708,3.298878553,1.535903128,0.63942857,0.244282115,1.321516503,0.233427086,0.848257333,0.606002006
01-01-06,15267.026,3.071806255,2.705370476,2.359967317,2.067818272,3.071806255,1.169467349,0.367853509,0.142835383,0.233427086,0.154513359,0.235216257,-0.5763576
01-04-06,15302.705,2.338934698,2.448324489,2.044321922,1.819655457,2.338934698,1.278857141,0.452306169,0.135812966,0.154513359,0.848257333,0.571237726,0.515058393
01-07-06,15326.368,2.557714281,2.014564158,2.00871631,1.527523191,2.557714281,0.735707017,0.549128062,0.000234571,0.848257333,0.235216257,0.541800932,-0.54282623
01-10-06,15456.928,1.471414035,1.640319355,1.85785197,0.858847611,1.471414035,0.904612337,0.48856423,-0.348961295,0.235216257,0.571237726,0.606002006,-2.187564921
01-01-07,15493.328,1.809224675,2.002868461,1.775669227,0.256873657,1.809224675,1.098256124,0.285670766,-0.4180472,0.571237726,0.541800932,-0.5763576,-1.129044839
01-04-07,15582.085,2.196512248,2.075384585,1.594988991,-0.469720615,2.196512248,0.977128461,0.271625933,-0.500441188,0.541800932,0.606002006,0.515058393,-0.144093514
01-07-07,15666.738,1.954256921,1.548469993,1.046330072,-1.131441328,1.954256921,0.571341532,0.000469142,-0.387156682,0.606002006,-0.5763576,-0.54282623,0.363449821
01-10-07,15761.967,1.142683065,1.114593398,-0.140156748,-1.35288505,1.142683065,0.543251866,-0.697922589,0.022838393,-0.5763576,0.515058393,-2.187564921,1.092395677
01-01-08,15671.383,1.086503731,0.54419015,-1.261921913,-1.283746266,1.086503731,0.000938285,-0.836094399,0.211974167,0.515058393,-0.54282623,-1.129044839,0.384041356
