DATE,IND,EMP,CON,TIV
40817,3.38,1.5,4.35,4.87
40848,3.26,1.5,3.91,3.49
40878,2.84,1.6,3.66,2.61
40909,3.6,1.8,4.09,2.64
40940,4.3,1.9,4.62,2.65
40969,2.79,1.9,3.8,3.42
41000,3.93,1.7,3.7,2.74
41030,3.9,1.7,3.36,2.66
41061,3.58,1.6,2.91,2.17
41091,3.3,1.6,2.81,2.89
41122,2.23,1.7,2.84,2.28
41153,2.31,1.6,3.01,2
